ubigeo,lat,lon,mita,cusco,border,dell_d_bnd,dell_signed,elevation,slope,bfe4_1,bfe4_2,bfe4_3,stunted,n_children
51006,13.796669960021973,73.98805236816406,1,0,0,87.355926513671875,87.355926513671875,3.42791,12.0579,0,0,1,0.40186915887850466,107
51007,13.714719772338867,74.0330581665039,1,0,0,88.583709716796875,88.583709716796875,3.12983,12.3104,0,0,1,0.4,95
51101,13.655559539794922,73.95305633544922,1,0,0,78.40895080566406,78.40895080566406,3.47177,8.97089,0,0,1,0.43781725888324874,788
51102,13.803330421447754,73.90416717529297,1,0,0,79.55365753173828,79.55365753173828,3.23337,13.4495,0,0,1,0.3228346456692913,127
51103,13.74806022644043,73.7852783203125,1,0,0,65.33690643310547,65.33690643310547,3.19115,11.9982,0,0,1,0.3522727272727273,88
51104,13.534170150756836,73.87444305419922,1,0,0,67.47354888916016,67.47354888916016,3.37987,10.2362,0,0,1,0.31048387096774194,248
51105,13.752779960632324,73.93138885498047,1,0,0,79.7825927734375,79.7825927734375,3.4177,10.1181,0,0,1,0.4861111111111111,216
51106,13.869999885559082,73.87999725341797,1,0,0,81.07420349121094,81.07420349121094,3.11873,15.0826,0,0,1,0.4925373134328358,201
51108,13.58860969543457,73.99610900878906,1,0,0,81.35356140136719,81.35356140136719,3.65243,7.13674,0,0,1,0.4312169312169312,378
80101,13.518329620361328,71.978057861328125,0,1,0,17.046480178833008,-17.046480178833008,3.86198,5.43146,0,0,0,0.14226350525543877,12273
80102,13.583609580993652,72.06111145019531,0,1,0,21.453411102294922,-21.453411102294922,3.96344,6.24945,0,0,1,0.6180904522613065,199
80103,13.502779960632324,72.03166961669922,0,1,0,22.939420700073242,-22.939420700073242,3.7245,6.36082,0,0,0,0.416289592760181,221
80104,13.541669845581055,71.88804626464844,0,1,1,7.575020790100098,-7.575020790100098,3.73271,7.44484,0,0,0,0.22797650827549387,1873
80105,13.527779579162598,71.934173583984375,0,1,0,12.301700592041016,-12.301700592041016,3.57541,5.93465,0,0,0,0.18424396442185512,3148
80106,13.520000457763672,71.9800033569336,0,1,0,17.25311851501465,-17.25311851501465,3.81031,4.86159,0,0,0,0.21216808455787575,3879
80107,13.561389923095703,71.84889221191406,0,1,1,3.279611110687256,-3.279611110687256,3.62493,9.43204,0,0,0,0.4461538461538462,65
80108,13.520000457763672,71.95999908447266,0,1,0,15.0862398147583,-15.0862398147583,3.33933,2.52375,0,0,0,0.08399726838151605,4393
80201,13.916669845581055,71.68110656738281,1,0,0,8.292232513427734,8.292232513427734,3.96267,8.16723,0,0,0,0.4728434504792332,626
80202,14.058609962463379,71.49388885498047,1,0,0,22.61256980895996,22.61256980895996,3.85641,5.19446,0,0,0,0.3047945205479452,292
80203,13.950830459594727,71.73722076416016,1,0,1,1.3136590719223022,1.3136590719223022,3.64217,10.8211,0,0,0,0.369047619047619,252
80204,14.119999885559082,71.4727783203125,1,0,0,22.87713050842285,22.87713050842285,3.86461,4.94553,0,0,0,0.47619047619047616,84
80205,14.02694034576416,71.56722259521484,1,0,1,16.264888763427734,16.264888763427734,4.0064,7.34165,0,0,0,0.4162219850586979,937
80206,13.781109809875488,71.77777862548828,1,0,1,4.879245281219482,4.879245281219482,3.78588,8.16918,0,0,0,0.504950495049505,303
80207,13.954999923706055,71.602783203125,1,0,0,13.739200592041016,13.739200592041016,3.96123,6.64617,0,0,0,0.3531073446327684,354
80301,13.46306037902832,72.15528106689453,0,0,0,26.657400131225586,-26.657400131225586,3.63963,4.9842,0,0,1,0.31036623215394166,1611
80302,13.449999809265137,72.30000305175781,0,0,0,23.85750961303711,-23.85750961303711,3.85999,7.62732,0,0,1,0.46534653465346537,707
80303,13.481670379638672,72.04444122314453,0,0,0,24.611358642578125,-24.611358642578125,3.671,5.06641,0,0,0,0.3161290322580645,155
80304,13.633330345153809,72.23388671875,0,0,1,6.089776039123535,-6.089776039123535,3.52901,8.94129,0,0,1,0.4801670146137787,479
80305,13.416669845581055,72.21666717529297,0,0,0,29.81485939025879,-29.81485939025879,4.08927,8.37147,0,0,1,0.43409490333919154,569
80306,13.47305965423584,72.43305206298828,0,0,0,19.0563907623291,-19.0563907623291,3.53387,11.5384,0,0,1,0.35546875,768
80307,13.516670227050781,72.53333282470703,0,0,0,19.12036895751953,-19.12036895751953,3.31783,14.3412,0,0,1,0.24193548387096775,248
80308,13.475560188293457,72.1161117553711,0,0,0,27.282949447631836,-27.282949447631836,3.6539,5.42356,0,0,1,0.4327731092436975,238
